事業者名,フィード名,最終更新日,データ開始日,データ有効期限,ライセンス,ダウンロードURL
東根市,東根市営バス,2026-03-09,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/higashinecity/feeds/HigashineCity/files/feed.zip?uid=cb94e464-7e31-4ca6-baef-ee06bed164b2
河北町,河北町営バス,2026-03-17,2026-04-01,2026-12-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/kahokutown/feeds/KahokuTown/files/feed.zip?uid=e8be4aa9-a9f6-47ed-8fc6-4db28628508d
上山市,上山市営バス,2025-08-27,2025-08-25,2026-09-30,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/kaminoyamacity/feeds/KaminoyamaCity/files/feed.zip?uid=b4da32ee-0fbd-43c7-9f45-ea22259b7939
真室川町,真室川町営バス,2026-02-25,2026-03-14,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/mamurogawatown/feeds/MamurogawaTown/files/feed.zip?uid=21b4de4d-db8d-4614-8305-62863a3378e0
最上川交通,最上川交通,2026-04-01,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/mogamigawakotsu/feeds/MOGAMIGAWAKOTSU/files/feed.zip?uid=8bf4db10-3523-44cc-b038-2c726e6900e9
村山市,村山市営バス,2026-02-27,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/murayamacity/feeds/MurayamaCity/files/feed.zip?uid=7c294fdd-03bd-4656-a8b2-46ebb846d18a
長井市,長井市営バス,2025-09-18,2025-10-01,2026-09-30,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/nagaicity/feeds/NagaiCity/files/feed.zip?uid=748cc3ec-7792-4110-9f1d-36340677a9d0
中山町,中山町営バス,2026-03-12,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/nakayamatown/feeds/NakayamaTown/files/feed.zip?uid=70032ec6-605e-4eb1-a6e2-5db7039cbdce
南陽市,南陽市営バス,2026-03-19,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/nanyocity/feeds/NanyoCity/files/feed.zip?uid=bc54b936-170a-4187-9ebe-da787dc164bc
西川町,西川町営バス,2026-03-06,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/nishikawatown/feeds/NishikawaTown/files/feed.zip?uid=546aaf3b-91f4-4951-a009-291eaf233ff8
尾花沢市,尾花沢市営バス,2025-08-20,2025-10-01,2026-09-30,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/obanazawacity/feeds/ObanazawaCity/files/feed.zip?uid=9f6e73e1-f35c-4167-91f4-7010b9ca94ce
大江町,大江町営バス,2026-03-09,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/oetown/feeds/Oetown/files/feed.zip?uid=b44ea82f-69a7-47a9-926d-4f31b3089b56
大蔵村,大蔵村営バス,2025-09-04,2025-10-01,2026-09-30,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/ohkuravillage/feeds/OhkuraVillage/files/feed.zip?uid=49ed2ccf-cd01-4edf-a0a2-a7f7a4f3f889
寒河江市,寒河江市営バス,2025-10-20,2025-11-17,2026-10-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/sagaecity/feeds/SagaeCity/files/feed.zip?uid=0e99d1ad-14a0-4c61-a16e-10acc6df2589
酒田市,酒田市営バス,2026-04-09,2026-04-09,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/sakatacity/feeds/SakataCity/files/feed.zip?uid=100f8749-cf04-4af0-a4cc-092fda5ff417
鮭川村,鮭川村営バス,2026-04-21,2026-04-17,2027-04-16,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/sakegawavillage/feeds/SakegawaVillage/files/feed.zip?uid=094bedac-3436-4df9-8852-70e2a2f200f0
新庄市,新庄市営バス,2026-03-12,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/shinjocity/feeds/ShinjoCity/files/feed.zip?uid=6e75263b-2e88-4b40-a881-0b85902a578e
白鷹町,白鷹町営バス,2026-02-25,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/shiratakatown/feeds/ShiratakaTown/files/feed.zip?uid=1469c791-b0dc-4cfe-8ec9-b5f6c0aa986e
庄内交通,庄内交通,2026-06-24,2026-03-29,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/shonaikotsu/feeds/SHONAIKOTSU/files/feed.zip?uid=77ac2a8c-e712-4e8e-90d0-9c9de39761bf
庄内町,庄内町営バス,2026-04-13,2026-04-13,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/shonaitown/feeds/ShonaiTown/files/feed.zip?uid=214b8a12-6c62-45bf-96ed-8bc92934f518
天童市,天童市営バス,2026-03-06,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/tendocity/feeds/TendoCity/files/feed.zip?uid=51db5de0-3040-485b-8fe4-521ee8618da0
戸沢村,戸沢村営バス,2026-04-01,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/tozawavillage/feeds/tozawavillagebus/files/feed.zip?uid=d4109de5-e7e6-43a4-bd12-787dd62cd3a6
鶴岡市,鶴岡市営バス,2025-08-22,2025-10-01,2026-09-30,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/tsuruokacity/feeds/TsuruokaCity/files/feed.zip?uid=ab597bdd-2e78-44b6-ac70-c250ece1bddf
朝日町,朝日町営バス,2026-03-04,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/yamagata-asahitown/feeds/AsahiTown/files/feed.zip?uid=13348b23-4242-4d16-bed6-0f1de3dd5abc
山形県金山町,金山町営バス,2026-03-13,2026-04-01,2027-03-31,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/yamagata-kaneyamatown/feeds/KaneyamaTown/files/feed.zip?uid=e0cbbc85-705c-45bc-ac19-0edf3630789a
山形県小国町,小国町営バス,2026-06-10,2026-07-01,2027-06-30,CC BY 4.0,https://api.gtfs-data.jp/v2/organizations/yamagata-ogunitown/feeds/OguniTown/files/feed.zip?uid=5fe8468b-bcdf-4923-aaf2-2d9c66cc3b08
