店舗名,種別,ブランド,緯度,経度,住所(番地)
セブン-イレブン,コンビニ,セブン-イレブン,38.2751384,140.3356352,
ヤマザワ,スーパー,,38.246604,140.33215,
セブン-イレブン,スーパー,,38.1920258,140.2961627,
生協,スーパー,,38.2617536,140.3170839,
ファミリーマート,コンビニ,FamilyMart,38.2495475,140.3270435,
ローソン,コンビニ,ローソン,38.262444,140.3146757,
ファミリーマート,コンビニ,ファミリーマート,38.25898,140.3106091,
業務スーパー,スーパー,業務スーパー,38.2765227,140.3250691,
セブン-イレブン,コンビニ,セブン-イレブン,38.2326761,140.3135652,
ファミリーマート,コンビニ,ファミリーマート,38.2155782,140.3230435,
Seria,スーパー,,38.2299222,140.3279608,
ヤマザワ,スーパー,,38.2257493,140.3187284,
ヤマザキ,コンビニ,,38.2555082,140.3218789,
ツルハ,スーパー,,38.2408115,140.3147038,
セブン-イレブン,コンビニ,セブン-イレブン,38.23109,140.3203835,
ファミリーマート,コンビニ,ファミリーマート,38.2307311,140.3214598,
ローソン,コンビニ,ローソン,38.2182119,140.3197917,
セブン-イレブン 山形嶋南1丁目店,コンビニ,,38.2781593,140.320032,
ローソン,コンビニ,ローソン,38.2779126,140.3555908,
ファミリーマート,コンビニ,ファミリーマート,38.2206056,140.324933,
セブン-イレブン,コンビニ,セブン-イレブン,38.283592,140.3471603,
風土然,スーパー,,38.2434855,140.3294746,
鈴木産業,スーパー,,38.2525756,140.319381,
サトー商会,スーパー,,38.23618,140.3065647,
マートふじき,コンビニ,,38.2356169,140.305725,
セブン-イレブン,コンビニ,セブン-イレブン,38.2189158,140.3134569,
ローソン,コンビニ,ローソン,38.2367733,140.3151074,
マックスバリュ 青田店,スーパー,,38.2243178,140.3272782,
ローソン,コンビニ,ローソン,38.2553844,140.3422074,
セブン-イレブン 山形緑町3丁目店,コンビニ,,38.2503684,140.3450062,
ファミリーマート,コンビニ,FamilyMart,38.2479018,140.3292746,
ローソン,コンビニ,,38.2724189,140.2812048,
